Loss values:
Epoch 1: 0.070685
Epoch 2: 1.145979
Epoch 3: 0.598204
Epoch 4: 1.232876
Epoch 5: 0.752917
Epoch 6: 0.446856
Epoch 7: 0.635074
Epoch 8: 0.301199
Epoch 9: 0.427054
Epoch 10: 0.262870
Epoch 11: 0.618399
Epoch 12: 0.091387
Epoch 13: 0.417203
Epoch 14: 0.096082
Epoch 15: 0.106532
Epoch 16: 0.115189
Epoch 17: 0.187689
Epoch 18: 0.062014
Epoch 19: 0.052451
Epoch 20: 0.191683
Epoch 21: 0.040582
Epoch 22: 0.038473
Epoch 23: 0.025534
Epoch 24: 0.094650
Epoch 25: 0.040116
Epoch 26: 0.041814
Epoch 27: 0.046706
Epoch 28: 0.025624
Epoch 29: 0.017196
Epoch 30: 0.011737
Epoch 31: 0.015283
Epoch 32: 0.027565
Epoch 33: 0.015020
Epoch 34: 0.017198
Epoch 35: 0.036927
Epoch 36: 0.022516
Epoch 37: 0.008843
Epoch 38: 0.016454
Epoch 39: 0.027739
Epoch 40: 0.020995
Epoch 41: 0.009162
Epoch 42: 0.014870
Epoch 43: 0.010308
Epoch 44: 0.006147
Epoch 45: 0.079028
Epoch 46: 0.006641
Epoch 47: 0.012027
Epoch 48: 0.018940
Epoch 49: 0.006623
Epoch 50: 0.009181
Epoch 51: 0.009309
Epoch 52: 0.012203
Epoch 53: 0.007839
Epoch 54: 0.011513
Epoch 55: 0.007170
Epoch 56: 0.014495
Epoch 57: 0.007236
Epoch 58: 0.005882
Epoch 59: 0.004885
Epoch 60: 0.007457
Epoch 61: 0.006062
Epoch 62: 0.006224
Epoch 63: 0.011944
Epoch 64: 0.006986
Epoch 65: 0.051808
Epoch 66: 0.029939
Epoch 67: 0.159626
Epoch 68: 0.111159
Epoch 69: 0.038730
Epoch 70: 0.032644
Epoch 71: 0.044286
Epoch 72: 0.017734
Epoch 73: 0.013671
Epoch 74: 0.012176
Epoch 75: 0.011865
Epoch 76: 0.014904
Epoch 77: 0.010406
Epoch 78: 0.007524
Epoch 79: 0.015619
Epoch 80: 0.022093
Epoch 81: 0.008663
Epoch 82: 0.006979
Epoch 83: 0.004567
Epoch 84: 0.010616
Epoch 85: 0.010631
Epoch 86: 0.009421
Epoch 87: 0.006402
Epoch 88: 0.011594
Epoch 89: 0.004368
Epoch 90: 0.002070
Epoch 91: 0.004923
Epoch 92: 0.006723
Epoch 93: 0.004116
Epoch 94: 0.005904
Epoch 95: 0.011719
Epoch 96: 0.004431
Epoch 97: 0.007710
Epoch 98: 0.005273
Epoch 99: 0.003918
Epoch 100: 0.003822
